top - 21:20:06 up 54 min,  1 user,  load average: 0,24, 0,50, 0,62
Tasks: 367 total,   1 running, 341 sleeping,  25 stopped,   0 zombie
%Cpu(s):  5,2 us,  1,6 sy,  0,0 ni, 92,7 id,  0,5 wa,  0,0 hi,  0,0 si,  0,0 st
MiB Mem :  15926,7 total,   4434,3 free,   4149,0 used,   7343,4 buff/cache
MiB Swap:      0,0 total,      0,0 free,      0,0 used.  11078,6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  31204 bizuki    20   0  726472 251204  98924 S  13,3   1,5   0:56.69 code
  31224 bizuki    20   0   54,6g 378056 131788 S  13,3   2,3   2:44.87 code
   1569 bizuki    20   0   16,3g 112492  86524 S   6,7   0,7   0:10.95 chrome
  31287 bizuki    20   0   36,3g 165096  59524 S   6,7   1,0   0:12.64 code
  31317 bizuki    20   0   36,3g  74664  54856 S   6,7   0,5   0:00.75 code
  47791 bizuki    20   0   11080   4088   3428 R   6,7   0,0   0:00.01 top
      1 root      20   0  173008  12740   8500 S   0,0   0,1   0:00.73 systemd
      2 root      20   0       0      0      0 S   0,0   0,0   0:00.00 kthreadd
      3 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 rcu_par_gp
      6 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/0:0H-events_highpri
      8 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 mm_percpu_wq
      9 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_kthre
     10 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_rude_
     11 root      20   0       0      0      0 S   0,0   0,0   0:00.00 rcu_tasks_trace
     12 root      20   0       0      0      0 S   0,0   0,0   0:00.14 ksoftirqd/0
     13 root      -2   0       0      0      0 I   0,0   0,0   0:00.80 rcu_preempt
     14 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcub/1
     15 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcuc/0
     16 root      rt   0       0      0      0 S   0,0   0,0   0:00.00 migration/0
     17 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/0
     19 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/0
     20 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/1
     21 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/1
     22 root      rt   0       0      0      0 S   0,0   0,0   0:00.22 migration/1
     23 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcuc/1
     24 root      20   0       0      0      0 S   0,0   0,0   0:00.12 ksoftirqd/1
     26 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/1:0H-events_highpri
     27 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/2
     28 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/2
     29 root      rt   0       0      0      0 S   0,0   0,0   0:00.22 migration/2
     30 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcuc/2
     31 root      20   0       0      0      0 S   0,0   0,0   0:00.13 ksoftirqd/2
     33 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/2:0H-kblockd
     34 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/3
     35 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/3
     36 root      rt   0       0      0      0 S   0,0   0,0   0:00.22 migration/3
     37 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcuc/3
     38 root      20   0       0      0      0 S   0,0   0,0   0:00.14 ksoftirqd/3
     40 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker/3:0H-events_highpri
     41 root      20   0       0      0      0 S   0,0   0,0   0:00.00 cpuhp/4
     42 root     -51   0       0      0      0 S   0,0   0,0   0:00.00 idle_inject/4
     43 root      rt   0       0      0      0 S   0,0   0,0   0:00.23 migration/4
     44 root      -2   0       0      0      0 S   0,0   0,0   0:00.00 rcuc/4
